ip_address,city,region,country,latitude,longitude
178.47.232.191,Yekaterinburg,Sverdlovsk Oblast,RU,56.8519,60.6122
188.19.139.184,Moscow,Moscow,RU,55.7522,37.6156
42.112.163.67,Nha Trang,Khánh Hòa Province,VN,12.2451,109.1943
126.60.209.224,Osaka,Osaka,JP,34.6938,135.5011
119.93.85.191,Cainta,Calabarzon,PH,14.5786,121.1222
146.52.111.201,Leipzig,Saxony,DE,51.3396,12.3713
118.68.205.57,Ho Chi Minh City,Ho Chi Minh,VN,10.823,106.6296
218.228.8.49,Ise,Mie,JP,34.4833,136.7
104.40.2.56,San Jose,California,US,37.3394,-121.895
78.187.39.146,Kayseri,Kayseri,TR,38.7322,35.4853
